,ConvertedCompYearly
2165,42962.0
2166,160000.0
2170,195000.0
2172,160000.0
2173,90000.0
2174,150000.0
2175,85000.0
2179,120000.0
2180,180000.0
2181,41244.0
2184,30773.0
2188,115000.0
2189,98000.0
2190,64629.0
2192,54902.0
2193,10741.0
2195,108002.0
2196,79201.0
2199,10741.0
2201,64444.0
2202,107440.0
2203,45284.0
2204,71765.0
2205,46185.0
2208,84000.0
2209,5184.0
2211,65000.0
2215,9589.0
2218,57325.0
2223,106000.0
2224,146496.0
2225,24000.0
2228,48407.0
2230,130000.0
2234,55851.0
2241,150000.0
2242,30728.0
2243,165604.0
2245,250000.0
2246,87000.0
2247,110000.0
2248,82802.0
2250,5435.0
2251,80000.0
2254,200000.0
2255,9774.0
2256,45111.0
2258,165000.0
2260,1975.0
2261,113851.0
2263,55000.0
2264,67000.0
2265,80555.0
2268,24616.0
2270,75473.0
2271,18661.0
2272,16111.0
2273,44586.0
2274,100000.0
2275,31195.0
2283,104000.0
2284,134000.0
2285,100275.0
2287,96666.0
2292,29043.0
2294,39609.0
2296,78634.0
2297,110000.0
2298,12342.0
2299,4009.0
2301,110827.0
2304,17374.0
2305,81528.0
2308,30000.0
2309,80555.0
2312,4010.0
2314,24731.0
2315,47250.0
2318,160000.0
2322,7360.0
2323,110622.0
2324,130000.0
2325,81737.0
2326,10368.0
2327,159924.0
2328,31687.0
2333,89172.0
2334,84000.0
2337,222000.0
2339,70063.0
2343,41192.0
2344,43127.0
2345,180000.0
2346,21052.0
2351,65000.0
2353,24202.0
2354,100000.0
2356,200000.0
2357,61222.0
2358,68192.0
2362,50955.0
2363,74000.0
2365,110827.0
2366,107406.0
2370,70000.0
2371,126000.0
2376,3456.0
2381,17227.0
2382,36000.0
2385,80000.0
2389,62763.0
2392,37120.0
2393,155000.0
2394,111702.0
2395,95000.0
2396,108074.0
2397,100000.0
2398,64801.0
2399,76465.0
2401,175000.0
2402,175000.0
2403,186000.0
2404,165000.0
2405,240000.0
2406,23697.0
2407,14360.0
2410,76328.0
2411,85886.0
2412,105000.0
2414,180000.0
2418,172000.0
2420,39947.0
2422,11064.0
2424,140000.0
2426,118919.0
2428,53452.0
2429,100000.0
2430,20000.0
2433,89189.0
2436,3456.0
2437,159500.0
2439,50000.0
2440,1572.0
2447,27973.0
2448,99099.0
2449,160000.0
2450,110974.0
2454,83919.0
2455,140000.0
2456,111417.0
2457,34770.0
2461,170000.0
2462,185000.0
2467,113834.0
2470,92492.0
2472,125525.0
2474,1333.0
2480,31822.0
2483,66000.0
2488,54000.0
2489,185000.0
2490,99099.0
2491,165165.0
2493,150000.0
2495,7178.0
2497,43883.0
2498,40406.0
2499,250000.0
2500,175000.0
2502,130000.0
2503,26406.0
2504,44757.0
2505,122402.0
2506,20475.0
2507,58154.0
2508,180000.0
2509,180000.0
2510,68400.0
2511,103063.0
2513,128000.0
2514,108906.0
2516,40000.0
2519,100000.0
2523,20354.0
2524,220000.0
2528,199703.0
2531,190000.0
2532,114649.0
2535,25458.0
2541,120000.0
2542,72693.0
2543,36518.0
2544,70000.0
2548,87231.0
2549,54504.0
2550,206220.0
2551,2000.0
2555,185000.0
2564,180000.0
2566,160000.0
2567,210000.0
2569,113334.0
2571,78325.0
2572,5815.0
2575,99099.0
2578,70000.0
2579,90000.0
2580,61098.0
2581,47854.0
2583,150000.0
2585,150000.0
2587,49044.0
2590,96000.0
2591,175000.0
2594,60000.0
2595,70008.0
2596,52853.0
2597,75976.0
2599,130000.0
2600,172000.0
2601,11189.0
2608,216559.0
2610,165000.0
2611,29909.0
2613,116000.0
2614,190000.0
2615,240000.0
2616,120000.0
2623,32576.0
2627,115000.0
2629,89189.0
2631,3987.0
2635,95708.0
2636,75184.0
2637,89000.0
2638,170000.0
2641,225400.0
2642,44542.0
2643,6230.0
2644,167194.0
2645,145652.0
2646,132132.0
2648,70000.0
2649,152000.0
2656,5581.0
2658,175000.0
2661,180000.0
2665,225000.0
2666,66066.0
2672,2647.0
2673,125000.0
2674,127288.0
2675,55000.0
2678,29092.0
2679,45000.0
2682,203000.0
2683,110000.0
2684,15892.0
2685,100000.0
2686,6490.0
2687,110000.0
2689,36000.0
2690,27078.0
2694,200000.0
2695,155000.0
2696,41392.0
2700,27000.0
2701,41392.0
2704,13181.0
2705,79279.0
2706,13000.0
2710,20607.0
2711,40000.0
2713,110000.0
2714,39947.0
2717,28011.0
2720,70000.0
2721,99099.0
2722,41392.0
2723,130000.0
2726,250000.0
2731,62000.0
2735,71781.0
2738,15074.0
2741,13427.0
2746,132132.0
2747,138739.0
2749,80000.0
2750,209000.0
2751,160000.0
2752,30549.0
2753,70082.0
2755,45000.0
2756,98862.0
2758,102427.0
2759,7178.0
2760,239887.0
2763,39640.0
2764,54835.0
2766,174766.0
2770,8974.0
2771,63997.0
2772,138000.0
2775,114855.0
2779,3404.0
2780,109039.0
2785,123360.0
2786,69369.0
2787,14720.0
2788,156000.0
2789,84000.0
2790,32696.0
2793,53703.0
2795,123543.0
2797,23582.0
2800,140000.0
2802,1795.0
2804,92369.0
2805,8000.0
2806,6798.0
2807,150000.0
2808,21189.0
2810,1933.0
2811,160000.0
2813,57334.0
2820,112457.0
2821,75976.0
2822,120000.0
2824,87231.0
2825,118147.0
2830,135000.0
2833,118147.0
2838,95955.0
2840,70000.0
2841,118147.0
2842,52853.0
2843,85000.0
2845,130000.0
2847,64444.0
2848,32222.0
2849,139900.0
2855,220000.0
2858,11320.0
2859,20000.0
2860,150000.0
2861,148000.0
2862,79786.0
2865,57134.0
2868,1728.0
2870,80555.0
2871,35890.0
2875,165165.0
2876,40000.0
2877,137500.0
2879,5370.0
2882,107406.0
2883,98736.0
2885,118919.0
2886,145345.0
2887,67500.0
2889,56465.0
2890,6321.0
2892,200000.0
2895,47568.0
2897,12138.0
2905,37592.0
2906,75260.0
2909,244248.0
2911,140000.0
2913,99099.0
2914,59817.0
2917,128887.0
2918,90000.0
2919,35890.0
2920,51443.0
2921,166320.0
2922,16111.0
2924,35645.0
2927,26320.0
2929,166000.0
2930,23927.0
2931,38283.0
2932,1358.0
2933,79279.0
2936,8374.0
2939,21534.0
2944,96666.0
2945,70675.0
2946,42962.0
2948,123517.0
2949,62296.0
2950,70063.0
2951,77064.0
2952,5099.0
2953,3209.0
2954,6162.0
2956,45111.0
2959,60000.0
2961,29909.0
2962,10049.0
2963,60000.0
2964,38283.0
2965,12000.0
2966,47854.0
2967,5025.0
2969,19953.0
2974,118265.0
2975,92492.0
2978,95040.0
2981,22731.0
2983,78407.0
2985,49407.0
2987,86093.0
2988,33879.0
2994,13160.0
2996,51507.0
2998,35000.0
2999,35653.0
3000,207642.0
3003,99099.0
3004,74239.0
3006,91250.0
3009,100962.0
3010,68789.0
3014,87000.0
3015,30000.0
3016,18544.0
3020,140000.0
3022,55278.0
3026,6580.0
3027,60809.0
3032,5551.0
3037,79894.0
3038,114559.0
3039,72000.0
3042,74110.0
3043,35890.0
3045,30933.0
3048,1795.0
3049,60927.0
3051,148479.0
3052,35890.0
3058,7733.0
3059,57230.0
3060,111417.0
3063,8917.0
3065,1426.0
3067,181732.0
3068,39640.0
3070,32712.0
3072,19200.0
3074,19870.0
3076,4293.0
3077,52461.0
3078,144842.0
3079,49622.0
3080,82703.0
3081,19333.0
3082,7256.0
3083,123732.0
3085,50773.0
3086,87231.0
3088,64444.0
3089,75184.0
3091,118147.0
3092,60781.0
3093,17817.0
3095,170000.0
3097,5307.0
3099,80855.0
3100,78431.0
3102,53703.0
3103,31822.0
3104,4307.0
3106,130305.0
3107,107406.0
3109,79617.0
3112,60000.0
3116,4307.0
3118,40000.0
3120,93443.0
3121,28059.0
3123,64444.0
3124,77332.0
3126,80000.0
3128,73036.0
3130,3629.0
3132,190000.0
3134,88862.0
3137,19142.0
3138,38154.0
3139,4034.0
3141,28712.0
3143,24144.0
3144,45033.0
3145,5742.0
3147,103110.0
3148,72001.0
3149,35890.0
3151,63526.0
3152,46185.0
3153,59073.0
3154,29000.0
3155,2685.0
3156,28712.0
3159,91295.0
3160,49407.0
3162,11405.0
3166,52411.0
3169,110380.0
3172,91295.0
3176,8614.0
3177,27926.0
3178,108280.0
3180,46185.0
3181,21481.0
3182,96666.0
3184,39640.0
3187,45111.0
3188,50051.0
3190,52166.0
3191,28211.0
3194,73036.0
3198,45714.0
3199,64444.0
3201,60000.0
3202,56072.0
3203,92653.0
3207,9571.0
3208,114649.0
3209,89281.0
3211,62930.0
3212,16111.0
3214,115800.0
3215,23927.0
3216,161109.0
3217,11108.0
3219,99581.0
3220,3727.0
3221,80000.0
3222,131400.0
3223,38666.0
3224,15553.0
3225,2073.0
3226,82582.0
3227,29909.0
3228,48333.0
3229,128887.0
3230,105706.0
3232,40814.0
3237,7998.0
3238,29644.0
3239,75184.0
3241,37592.0
3244,82582.0
3245,33792.0
3247,70656.0
3248,80426.0
3249,30267.0
3252,115874.0
3253,57325.0
3255,10935.0
3258,42494.0
3259,250000.0
3261,96666.0
3262,89048.0
3263,70275.0
3264,130000.0
3266,3625.0
3267,35444.0
3269,34338.0
3270,64444.0
3272,108480.0
3275,59073.0
3276,44818.0
3277,85925.0
3278,29621.0
3280,35890.0
3281,37796.0
3284,30914.0
3285,10692.0
3286,71962.0
3290,53836.0
3293,36266.0
3296,131472.0
3298,86401.0
3300,56773.0
3302,53703.0
3303,59073.0
3304,51836.0
3307,70000.0
3308,44516.0
3311,41457.0
3313,14356.0
3314,129524.0
3315,35444.0
3316,37592.0
3317,53703.0
3318,123517.0
3319,38140.0
3320,118147.0
3321,53703.0
3322,118147.0
3326,18000.0
3328,83777.0
3329,75184.0
3331,80555.0
3332,19586.0
3334,69814.0
3335,88993.0
3341,134921.0
3344,53703.0
3347,38283.0
3348,48333.0
3350,54000.0
3352,35444.0
3353,45926.0
3355,85925.0
3356,64444.0
3357,39091.0
3359,38237.0
3360,42962.0
3361,74052.0
3365,57999.0
3368,26852.0
3370,85925.0
3371,177153.0
3372,118147.0
3373,54351.0
3375,91295.0
3377,200000.0
3378,4307.0
3380,39494.0
3381,83000.0
3383,92492.0
3384,64444.0
3385,59073.0
3386,62546.0
3389,14400.0
3392,4784.0
3394,65518.0
3395,105258.0
3397,26798.0
3398,90625.0
3399,53703.0
3400,42962.0
3402,100469.0
3403,53703.0
3405,70849.0
3407,76307.0
3408,24703.0
3412,67666.0
3413,90221.0
3414,96666.0
3415,60577.0
3416,47259.0
3417,44544.0
3419,38111.0
3422,17279.0
3424,139628.0
3427,77681.0
3430,71407.0
3432,59872.0
3435,47000.0
3436,79617.0
3437,18399.0
3438,107406.0
3439,35890.0
3440,67666.0
3441,107887.0
3442,59073.0
3444,26637.0
3445,75184.0
3446,49493.0
3448,75184.0
3450,75353.0
